نص_المنشور,ground_truth,ai_sentiment,ai_confidence,معرف_المنشور,التاريخ,اسم_المستخدم,الموقع,فرع
تطبيق التوصيل لخبط الطلب من مطعم الطيب، ومحد رد على الاتصالات 😡,negative,negative,0.9,XT25110231174,2025-11-02,صقر,الدوحة,أبوظبي-الكورنيش
الخدمة طبيعية والنظافة جيدة، المقبلات المشكلة يحتاج تحسين بسيط. 🔥,neutral,neutral,0.9,XT25101136365,2025-10-11,محمد,دبي,جدة-السلامة
مطعم الطيب يقدم خيارات متنوعة. الأسعار متوسطة. 👍,neutral,positive,0.9,XT25111041195,2025-11-10,لولوة,أبوظبي,دبي-الخور
زرت مطعم الطيب اليوم. الشاورما عادي والخدمة مقبولة. 😐,neutral,neutral,0.9,XT25102354473,2025-10-23,Bassam_A,تبوك,الرياض-الياسمين
للأسف التجربة سيئة اليوم في مطعم الطيب. تأخير كبير والطلب وصل بارد 😞,negative,negative,0.9,XT25110473092,2025-11-04,شادن,تبوك,أبوظبي-الكورنيش
للأسف التجربة سيئة اليوم في مطعم الطيب. تأخير كبير والطلب وصل بارد 😞,negative,negative,0.9,XT25100434356,2025-10-04,نورة,الرياض,الدمام-الشاطئ
الخدمة طبيعية والنظافة جيدة، المقبلات المشكلة يحتاج تحسين بسيط.,neutral,neutral,0.9,XT25103023104,2025-10-30,نورة,مكة,الدمام-الشاطئ
خدمة راقية وابتسامة من الموظفين في مطعم الطيب. الكباب كان ممتاز 👍,positive,positive,0.9,XT25110325129,2025-11-03,Bassam_A,دبي,دبي-الخور
أول زيارة لـ مطعم الطيب وكانت فوق التوقعات. السمك المشوي يستاهل التجربة 👌,positive,positive,0.9,XT25101719862,2025-10-17,مها,الرياض,الدمام-الشاطئ
أول زيارة لـ مطعم الطيب وكانت فوق التوقعات. الشاورما يستاهل التجربة 👌,positive,positive,0.9,XT25101242527,2025-10-12,لولوة,الدوحة,الرياض-الياسمين
النظافة تحتاج تحسين في مطعم الطيب، والطعم عادي جدًا. السمك المشوي خيب الظن.,negative,negative,0.9,XT25101813617,2025-10-18,Bassam_A,الخبر,جدة-الروضة
تطبيق التوصيل لخبط الطلب من مطعم الطيب، ومحد رد على الاتصالات 😡,negative,negative,0.9,XT25101349363,2025-10-13,هناء,أبها,جدة-الروضة
خدمة راقية وابتسامة من الموظفين في مطعم الطيب. المنسف كان ممتاز 👍,positive,positive,0.9,XT25103032241,2025-10-30,نورة,الخبر,جدة-الروضة
